,Trial,Hit/Miss,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Outlier Event,ob,obpres,contact,grip,event_name,window
1272,92,1074.6284666666666,27,21,32,11,0.056,0.01,0.097,0.087,615.3684469509611,7.095254744706074,True,1,1074.6284666666666,1078.1909333333333,1,obpres,"(-0.5, 0)"
1292,94,1095.0658333333333,16,13,19,6,0.422,0.284,0.499,0.278,973.280594875657,6.67855122164327,True,0,1095.0658333333333,1098.6593666666668,3,obpres,"(-0.5, 0)"
1316,96,1113.222,17,15,20,5,0.214,0.119,0.346,0.227,897.479244182206,6.253687024452857,True,0,1113.222,1116.9405333333334,3,obpres,"(-0.5, 0)"
1317,96,1113.222,18,15,22,7,0.181,0.114,0.347,0.233,915.4566523961998,6.779358092150026,True,0,1113.222,1116.9405333333334,3,obpres,"(-0.5, 0)"
1318,96,1113.222,20,15,25,10,0.146,0.093,0.202,0.109,867.6447809409144,7.392527547893911,True,0,1113.222,1116.9405333333334,3,obpres,"(-0.5, 0)"
1319,96,1113.222,20,15,26,11,0.134,0.091,0.204,0.113,836.3952532345228,7.126274584120357,True,0,1113.222,1116.9405333333334,3,obpres,"(-0.5, 0)"
1320,96,1113.222,22,16,27,11,0.123,0.065,0.176,0.111,848.9434516692387,9.109331512134862,True,0,1113.222,1116.9405333333334,3,obpres,"(-0.5, 0)"
1330,97,1122.2532666666666,15,12,19,7,0.425,0.349,0.499,0.154,929.6358795284865,6.8813931577281515,True,0,1122.2532666666666,1125.8619333333334,1,obpres,"(-0.5, 0)"
1339,98,1139.1593666666668,16,13,20,7,0.076,0.004,0.175,0.171,1558.6102703044924,10.695023182022513,True,1,1139.1593666666668,1142.8617666666667,2,obpres,"(-0.5, 0)"
1380,101,1221.6895333333334,17,14,22,8,0.23,0.15,0.357,0.207,862.78452350539,6.011932214054621,True,1,1221.6895333333334,1223.0644,1,obpres,"(-0.5, 0)"
1381,101,1221.6895333333334,25,14,31,17,0.179,0.046,0.215,0.169,576.3081948273048,7.1131471853567625,True,1,1221.6895333333334,1223.0644,1,obpres,"(-0.5, 0)"
1383,101,1221.6895333333334,29,24,34,10,0.059,0.01,0.115,0.105,648.014195217044,6.240738827359548,True,1,1221.6895333333334,1223.0644,1,obpres,"(-0.5, 0)"
1474,107,1417.1727333333333,15,12,18,6,0.19,0.074,0.284,0.21,875.5842648755412,6.4812898275666795,True,1,1417.1727333333333,1418.3288333333333,1,obpres,"(-0.5, 0)"
1489,108,1456.9224666666667,16,13,20,7,0.336,0.247,0.442,0.195,1011.32471304654,6.939606043062936,True,1,1456.9224666666667,1458.4536,1,obpres,"(-0.5, 0)"
1491,108,1456.9224666666667,23,17,38,21,0.046,0.003,0.096,0.093,511.6537542925678,6.073737351388562,True,1,1456.9224666666667,1458.4536,1,obpres,"(-0.5, 0)"
1500,109,1463.5786666666668,17,15,21,6,0.289,0.188,0.465,0.277,1715.5296112766505,11.953909062132436,True,1,1463.5786666666668,1464.9071333333334,2,obpres,"(-0.5, 0)"
